dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,linolenic,1,8.464440269267852,True,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,other,2,7.401190718614072,True,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,eicosenoic,3,6.2269020479201,True,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,stearic,4,5.239298309232443,False,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,arachidic,5,4.19453919552707,False,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,linoleic,6,3.207689256458461,False,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,oleic,7,2.1647997025197774,False,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,13,3,palmitoleic,8,1.13576585409745,False,0.008407492190599442,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,linolenic,1,8.464440269267852,True,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,other,2,7.401190718614072,True,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,eicosenoic,3,6.2269020479201,True,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,stearic,4,5.239298309232443,False,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,arachidic,5,4.19453919552707,False,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,linoleic,6,3.207689256458461,False,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,oleic,7,2.1647997025197774,False,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,42,3,palmitoleic,8,1.13576585409745,False,0.008543599396944046,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,linolenic,1,8.464440269267852,True,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,other,2,7.401190718614072,True,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,eicosenoic,3,6.2269020479201,True,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,stearic,4,5.239298309232443,False,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,arachidic,5,4.19453919552707,False,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,linoleic,6,3.207689256458461,False,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,oleic,7,2.1647997025197774,False,0.008343279361724854,400,ok
olive_oil_9class,mrmr_approx,relevancia-redundancia,97,3,palmitoleic,8,1.13576585409745,False,0.008343279361724854,400,ok
