dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_9class,mutual_correlation,redundancia pura,13,8,linoleic,1,8.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,palmitoleic,2,7.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,other,3,6.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,linolenic,4,5.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,eicosenoic,5,4.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,stearic,6,3.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,oleic,7,2.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,13,8,arachidic,8,1.0,True,0.00019276142120361328,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,linoleic,1,8.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,palmitoleic,2,7.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,other,3,6.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,linolenic,4,5.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,eicosenoic,5,4.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,stearic,6,3.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,oleic,7,2.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,42,8,arachidic,8,1.0,True,0.00016216840595006943,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,linoleic,1,8.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,palmitoleic,2,7.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,other,3,6.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,linolenic,4,5.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,eicosenoic,5,4.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,stearic,6,3.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,oleic,7,2.0,True,0.00016837287694215775,400,ok
olive_oil_9class,mutual_correlation,redundancia pura,97,8,arachidic,8,1.0,True,0.00016837287694215775,400,ok
