dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status
olive_oil_9class,random_forest,embedded,13,5,linolenic,1,0.19779346690183985,True,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,linoleic,2,0.17764020698569752,True,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,other,3,0.14613411865328893,True,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,eicosenoic,4,0.11466129859891783,True,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,palmitoleic,5,0.10867720514288763,True,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,stearic,6,0.10212534319942904,False,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,arachidic,7,0.08545842339208054,False,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,13,5,oleic,8,0.06750993712585869,False,0.5807477552443743,400,ok
olive_oil_9class,random_forest,embedded,42,5,linolenic,1,0.19916554883829737,True,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,linoleic,2,0.1712905319189662,True,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,other,3,0.14695276920620065,True,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,eicosenoic,4,0.1119968679269588,True,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,stearic,5,0.10449885483148935,True,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,palmitoleic,6,0.10272771513952997,False,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,arachidic,7,0.09198518857887543,False,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,42,5,oleic,8,0.07138252355968239,False,0.6053631426766515,400,ok
olive_oil_9class,random_forest,embedded,97,5,linolenic,1,0.20516718305633652,True,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,linoleic,2,0.1743489753850226,True,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,other,3,0.14918611092224401,True,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,palmitoleic,4,0.10688403863668125,True,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,eicosenoic,5,0.10131883381440282,True,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,stearic,6,0.1006648062895955,False,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,arachidic,7,0.09709966035269908,False,0.5960881235077977,400,ok
olive_oil_9class,random_forest,embedded,97,5,oleic,8,0.06533039154301819,False,0.5960881235077977,400,ok
