dataset,feature_set,selector,k,n_features,feature_path,source,model_name,experiment_id
breast_cancer_wisconsin,all_features,all_features,30,30,,baseline,logistic_regression,breast_cancer_wisconsin__all_features__logistic_regression
breast_cancer_wisconsin,all_features,all_features,30,30,,baseline,linear_svm,breast_cancer_wisconsin__all_features__linear_svm
breast_cancer_wisconsin,all_features,all_features,30,30,,baseline,random_forest,breast_cancer_wisconsin__all_features__random_forest
breast_cancer_wisconsin,all_features,all_features,30,30,,baseline,xgboost,breast_cancer_wisconsin__all_features__xgboost
breast_cancer_wisconsin,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/variance/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__variance_k10__logistic_regression
breast_cancer_wisconsin,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/variance/k_10,reference_k,linear_svm,breast_cancer_wisconsin__variance_k10__linear_svm
breast_cancer_wisconsin,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/variance/k_10,reference_k,random_forest,breast_cancer_wisconsin__variance_k10__random_forest
breast_cancer_wisconsin,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/variance/k_10,reference_k,xgboost,breast_cancer_wisconsin__variance_k10__xgboost
breast_cancer_wisconsin,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/f_classif/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__f_classif_k10__logistic_regression
breast_cancer_wisconsin,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/f_classif/k_10,reference_k,linear_svm,breast_cancer_wisconsin__f_classif_k10__linear_svm
breast_cancer_wisconsin,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/f_classif/k_10,reference_k,random_forest,breast_cancer_wisconsin__f_classif_k10__random_forest
breast_cancer_wisconsin,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/f_classif/k_10,reference_k,xgboost,breast_cancer_wisconsin__f_classif_k10__xgboost
breast_cancer_wisconsin,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_info/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__mutual_info_k10__logistic_regression
breast_cancer_wisconsin,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_info/k_10,reference_k,linear_svm,breast_cancer_wisconsin__mutual_info_k10__linear_svm
breast_cancer_wisconsin,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_info/k_10,reference_k,random_forest,breast_cancer_wisconsin__mutual_info_k10__random_forest
breast_cancer_wisconsin,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_info/k_10,reference_k,xgboost,breast_cancer_wisconsin__mutual_info_k10__xgboost
breast_cancer_wisconsin,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__mutual_correlation_k10__logistic_regression
breast_cancer_wisconsin,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10,reference_k,linear_svm,breast_cancer_wisconsin__mutual_correlation_k10__linear_svm
breast_cancer_wisconsin,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10,reference_k,random_forest,breast_cancer_wisconsin__mutual_correlation_k10__random_forest
breast_cancer_wisconsin,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10,reference_k,xgboost,breast_cancer_wisconsin__mutual_correlation_k10__xgboost
breast_cancer_wisconsin,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__feature_similarity_k10__logistic_regression
breast_cancer_wisconsin,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10,reference_k,linear_svm,breast_cancer_wisconsin__feature_similarity_k10__linear_svm
breast_cancer_wisconsin,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10,reference_k,random_forest,breast_cancer_wisconsin__feature_similarity_k10__random_forest
breast_cancer_wisconsin,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10,reference_k,xgboost,breast_cancer_wisconsin__feature_similarity_k10__xgboost
breast_cancer_wisconsin,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__mrmr_approx_k10__logistic_regression
breast_cancer_wisconsin,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10,reference_k,linear_svm,breast_cancer_wisconsin__mrmr_approx_k10__linear_svm
breast_cancer_wisconsin,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10,reference_k,random_forest,breast_cancer_wisconsin__mrmr_approx_k10__random_forest
breast_cancer_wisconsin,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10,reference_k,xgboost,breast_cancer_wisconsin__mrmr_approx_k10__xgboost
breast_cancer_wisconsin,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rrfs/k_10,reference_k,logistic_regression,breast_cancer_wisconsin__rrfs_k10__logistic_regression
breast_cancer_wisconsin,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rrfs/k_10,reference_k,linear_svm,breast_cancer_wisconsin__rrfs_k10__linear_svm
breast_cancer_wisconsin,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rrfs/k_10,reference_k,random_forest,breast_cancer_wisconsin__rrfs_k10__random_forest
breast_cancer_wisconsin,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rrfs/k_10,reference_k,xgboost,breast_cancer_wisconsin__rrfs_k10__xgboost
breast_cancer_wisconsin,boruta_confirmed_22,boruta,22,22,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/boruta/k_22,confirmed_by_boruta,logistic_regression,breast_cancer_wisconsin__boruta_confirmed_22__logistic_regression
breast_cancer_wisconsin,boruta_confirmed_22,boruta,22,22,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/boruta/k_22,confirmed_by_boruta,linear_svm,breast_cancer_wisconsin__boruta_confirmed_22__linear_svm
breast_cancer_wisconsin,boruta_confirmed_22,boruta,22,22,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/boruta/k_22,confirmed_by_boruta,random_forest,breast_cancer_wisconsin__boruta_confirmed_22__random_forest
