dataset,feature,mean_abs_shap
breast_cancer_wisconsin,texture_worst,0.9575446726842572
breast_cancer_wisconsin,radius_worst,0.8794267997096686
breast_cancer_wisconsin,area_worst,0.8554477862623685
breast_cancer_wisconsin,concave_points_worst,0.6337308831303559
breast_cancer_wisconsin,concave_points_mean,0.5484912138107431
breast_cancer_wisconsin,concavity_worst,0.5392489139319785
breast_cancer_wisconsin,fractal_dimension_se,0.48072395779673294
breast_cancer_wisconsin,compactness_mean,0.4669572625106715
breast_cancer_wisconsin,radius_se,0.44590139089391706
breast_cancer_wisconsin,area_se,0.39099889873796195
breast_cancer_wisconsin,smoothness_se,0.35912370695385404
breast_cancer_wisconsin,perimeter_se,0.32658291183659566
breast_cancer_wisconsin,concavity_mean,0.3225176581537932
breast_cancer_wisconsin,perimeter_worst,0.30122644942121474
breast_cancer_wisconsin,texture_se,0.2545562679303755
breast_cancer_wisconsin,smoothness_worst,0.2545524157208301
breast_cancer_wisconsin,symmetry_worst,0.2513681145841048
breast_cancer_wisconsin,fractal_dimension_worst,0.19288006602165897
breast_cancer_wisconsin,concave_points_se,0.18162217876251302
breast_cancer_wisconsin,symmetry_mean,0.11518094575039291
breast_cancer_wisconsin,smoothness_mean,0.08818106528719172
breast_cancer_wisconsin,concavity_se,0.08536490282300098
breast_cancer_wisconsin,symmetry_se,0.07724072022906447
breast_cancer_wisconsin,texture_mean,0.06734693595048409
breast_cancer_wisconsin,compactness_se,0.04757997102755137
breast_cancer_wisconsin,radius_mean,0.039169473871139004
breast_cancer_wisconsin,area_mean,0.03711953367425614
breast_cancer_wisconsin,perimeter_mean,0.024524281262912277
breast_cancer_wisconsin,compactness_worst,0.013602837446895442
breast_cancer_wisconsin,fractal_dimension_mean,0.013186879182122344
customer_churn,support_calls,3.649643164197746
customer_churn,age,2.2869111507311564
customer_churn,total_spend,2.2215622533479475
customer_churn,contract_length_Monthly,1.8887828624414411
customer_churn,payment_delay,1.6395641397564316
customer_churn,last_interaction,1.299859557876313
customer_churn,gender_Female,0.8604533143794532
customer_churn,gender_Male,0.6492383922391498
customer_churn,tenure,0.5060436926975113
customer_churn,usage_frequency,0.41554621334428515
customer_churn,subscription_type_Basic,0.10632570471444869
customer_churn,subscription_type_Standard,0.03869985010186427
customer_churn,subscription_type_Premium,0.01757896103245729
customer_churn,contract_length_Quarterly,0.01675491236532689
customer_churn,contract_length_Annual,0.01652507311054214
madelon,feat_241,0.45021125367041503
madelon,feat_336,0.4192810807851128
madelon,feat_105,0.4160973040257483
madelon,feat_153,0.379969000444244
madelon,feat_338,0.3194483315107358
madelon,feat_475,0.31711766403958985
madelon,feat_378,0.3142468883390443
madelon,feat_453,0.2939124634418677
madelon,feat_48,0.29319914014690424
madelon,feat_442,0.261956784416069
madelon,feat_318,0.22297978904003124
madelon,feat_281,0.16422951338458347
madelon,feat_28,0.13522904305896716
madelon,feat_493,0.13182204507661915
madelon,feat_128,0.1317084063662584
madelon,feat_472,0.12062338253569883
madelon,feat_481,0.12041076729867693
madelon,feat_55,0.11724682836025989
madelon,feat_424,0.11625357589096612
madelon,feat_451,0.11397839849322994
madelon,feat_264,0.10765595173140632
madelon,feat_468,0.1074687250472449
madelon,feat_323,0.10021049130941734
madelon,feat_137,0.09387498762260857
madelon,feat_433,0.08886090069671704
madelon,feat_64,0.08744589788376811
madelon,feat_199,0.08113799640911339
madelon,feat_296,0.07676033770779905
madelon,feat_282,0.07274748277252507
madelon,feat_26,0.07210907821664683
madelon,feat_379,0.0687567355026452
madelon,feat_458,0.06767196924732809
madelon,feat_44,0.06631843003098697
madelon,feat_285,0.06545244932932065
madelon,feat_344,0.06470668604978518
madelon,feat_374,0.0642903904909578
madelon,feat_410,0.06418234766300689
madelon,feat_177,0.06379734802710492
madelon,feat_314,0.058750132004511145
madelon,feat_308,0.05821043046318616
madelon,feat_419,0.05758602220767643
madelon,feat_10,0.05696873864377851
madelon,feat_140,0.05591729035342386
madelon,feat_309,0.055358592102988026
madelon,feat_365,0.053807535227225194
madelon,feat_60,0.052805870447055606
madelon,feat_478,0.05162328299278353
madelon,feat_132,0.05146644269150953
madelon,feat_358,0.05103959367862796
madelon,feat_438,0.050983575254610836
madelon,feat_384,0.05015252187862253
madelon,feat_430,0.049844089526882934
madelon,feat_343,0.04871396128396833
madelon,feat_372,0.048010026537847215
madelon,feat_33,0.04787742382955038
madelon,feat_298,0.04716440933682024
madelon,feat_149,0.04603852942894449
madelon,feat_224,0.045802043285550736
madelon,feat_383,0.045645661766557405
madelon,feat_417,0.045266278912883734
madelon,feat_126,0.044518872560838155
madelon,feat_443,0.043362512748958165
madelon,feat_348,0.042925854524857525
madelon,feat_57,0.04268021736982822
madelon,feat_259,0.04253335714478746
madelon,feat_218,0.04190500227280038
madelon,feat_260,0.04122634574513455
madelon,feat_116,0.041110004218335
madelon,feat_201,0.04042180786432777
madelon,feat_393,0.040194747898642316
madelon,feat_448,0.0390499663993018
madelon,feat_446,0.0388622983201737
madelon,feat_491,0.038768995499855394
madelon,feat_87,0.038375697274707875
madelon,feat_286,0.03819503848041058
madelon,feat_322,0.037460138448125964
madelon,feat_211,0.037312854161066965
madelon,feat_34,0.03720440405752937
madelon,feat_204,0.03655773110217996
madelon,feat_156,0.036156033669790005
madelon,feat_136,0.036004300844977855
madelon,feat_193,0.035065489463219045
madelon,feat_334,0.03469287737434496
madelon,feat_251,0.034377701598122534
madelon,feat_85,0.034219487363455106
madelon,feat_191,0.03416382118229911
madelon,feat_54,0.034084642765048204
madelon,feat_306,0.034006540606260155
madelon,feat_66,0.03399578768679639
madelon,feat_414,0.033893359368684456
madelon,feat_46,0.03353685563134348
madelon,feat_71,0.033440262818486846
madelon,feat_317,0.032822955769905814
madelon,feat_411,0.03262067123901988
madelon,feat_16,0.03259780785421416
madelon,feat_117,0.03241835286160254
madelon,feat_159,0.032185978625572174
madelon,feat_377,0.03181965923414003
madelon,feat_232,0.031490715985923706
madelon,feat_196,0.03148360250283733
madelon,feat_250,0.031302324964428155
madelon,feat_158,0.031104420784758034
madelon,feat_441,0.03097584528266644
madelon,feat_313,0.030814567054247406
madelon,feat_21,0.030193473710142988
madelon,feat_431,0.030155601981928366
madelon,feat_165,0.029835267078886184
madelon,feat_403,0.029797014975371225
madelon,feat_304,0.029667181859691236
madelon,feat_386,0.02947653962379552
madelon,feat_295,0.029268625526084613
madelon,feat_53,0.029127669533452718
madelon,feat_216,0.029002010192026504
madelon,feat_330,0.028468631987664667
madelon,feat_347,0.027634927741715613
madelon,feat_497,0.027409660557849574
madelon,feat_175,0.027375426217832153
madelon,feat_268,0.027252109792886763
madelon,feat_168,0.026938569445286956
madelon,feat_4,0.02672592737357092
madelon,feat_142,0.02623350282517107
madelon,feat_11,0.026153672733576987
madelon,feat_73,0.026147406104658155
madelon,feat_294,0.025876140432996908
madelon,feat_24,0.02570247685432357
madelon,feat_59,0.025661030451561467
madelon,feat_489,0.025569750745350516
madelon,feat_278,0.025544441236039484
madelon,feat_499,0.025529674328644367
madelon,feat_19,0.025438752413839884
madelon,feat_341,0.025300171271451587
madelon,feat_349,0.02517727756387806
madelon,feat_36,0.025067943737923638
madelon,feat_65,0.02495716161852956
madelon,feat_139,0.024912176170621636
madelon,feat_104,0.024673753413723885
