dataset,baseline_features,baseline_test_macro_f1,mejor_feature_set,mejor_modelo,seleccion_features,seleccion_test_macro_f1,delta_test_macro_f1,delta_ci_low,delta_ci_high,p_valor_pareado_crudo,p_valor_pareado_fdr,p_valor_pareado_holm,configuration,fuente,qfs_model_name,baseline_model_name,n_features_used,selected_features,qfs_test_macro_f1,qfs_test_balanced_accuracy,qfs_test_auc_roc,p_valor_label_permutation,veredicto
breast_cancer_wisconsin,30.0,0.9373816805009464,boruta_confirmed_22,linear_svm,22.0,0.9502314814814814,0.012849800980535,0.0,0.039143481483814,1.0,1.0,1.0,mejor_clasico_fase7,fase7_clasica,,,,,,,,,
customer_churn,10.0,0.9998152056674428,l1_logistic_k10,xgboost,10.0,0.9991377826701864,-0.0006774229972563,-0.0008791975703463,-0.0005083131992778,0.0004997501249375,0.0012493753123437,0.0049975012493749,mejor_clasico_fase7,fase7_clasica,,,,,,,,,
madelon,500.0,0.813034188034188,boruta_confirmed_19,xgboost,19.0,0.906662518334148,0.0936283302999599,0.0532829564444517,0.1401381417344593,0.0004997501249375,0.0012493753123437,0.0049975012493749,mejor_clasico_fase7,fase7_clasica,,,,,,,,,
olive_oil_3class,8.0,1.0,f_classif_k5,linear_svm,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,mejor_clasico_fase7,fase7_clasica,,,,,,,,,
olive_oil_9class,8.0,0.8387318563789152,l1_logistic_k5,xgboost,5.0,0.954272887606221,0.1155410312273057,-0.0036863453639992,0.2404678469678468,0.3548225887056472,0.7096451774112944,1.0,mejor_clasico_fase7,fase7_clasica,,,,,,,,,
breast_cancer_wisconsin,,0.9373816805009465,,,,,0.0,-0.04977667194553649,0.04887592393558836,,1.0,1.0,qfs_na,fase9_qfs,random_forest,linear_svm,10.0,texture_worst|concave_points_mean|radius_mean|fractal_dimension_se|concavity_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.9373816805009465,0.9346064814814814,0.9620949074074074,0.001996007984031936,equivalente
breast_cancer_wisconsin,,0.9373816805009465,,,,,0.0,-0.03751661363242223,0.03703424299842037,,1.0,1.0,qfs_oracle_mucke,fase9_qfs,linear_svm,linear_svm,10.0,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean,0.9373816805009465,0.9346064814814814,0.9594907407407408,0.001996007984031936,equivalente
customer_churn,,0.9998152056674428,,,,,-0.012509868634961285,-0.013389536233551344,-0.011622169567123784,,0.001249375312343828,0.019990004997501247,qfs_na,fase9_qfs,xgboost,xgboost,10.0,age|support_calls|payment_delay|total_spend|gender_Female|gender_Male|subscription_type_Basic|subscription_type_Premium|subscription_type_Standard|contract_length_Monthly,0.9873053370324815,0.9889733333333333,0.9950523905676857,0.001996007984031936,deterioro
customer_churn,,0.9998152056674428,,,,,-0.0006774229972564827,-0.0008790547961825962,-0.0004927643818632033,,0.001249375312343828,0.019990004997501247,qfs_oracle_mucke,fase9_qfs,xgboost,xgboost,10.0,age|tenure|usage_frequency|support_calls|payment_delay|total_spend|last_interaction|gender_Male|subscription_type_Premium|contract_length_Monthly,0.9991377826701863,0.9992533333333333,0.9999739714701602,0.001996007984031936,deterioro
madelon,,0.813034188034188,,,,,-0.1663832257691985,-0.22235148263508028,-0.10566018923320901,,0.001249375312343828,0.019990004997501247,qfs_na,fase9_qfs,linear_svm,xgboost,10.0,feat_241|feat_43|feat_205|feat_147|feat_346|feat_211|feat_295|feat_431|feat_85|feat_42,0.6466509622649895,0.6466666666666667,,0.001996007984031936,deterioro
madelon,,0.813034188034188,,,,,-0.16973652493454483,-0.22739635191983842,-0.10517005036317019,,0.001249375312343828,0.019990004997501247,qfs_oracle_mucke,fase9_qfs,linear_svm,xgboost,10.0,feat_241|feat_43|feat_205|feat_147|feat_368|feat_346|feat_211|feat_295|feat_85|feat_42,0.6432976630996432,0.6433333333333333,,0.001996007984031936,deterioro
olive_oil_3class,,1.0,,,,,0.0,0.0,0.0,,1.0,1.0,qfs_na,fase9_qfs,linear_svm,linear_svm,5.0,stearic|linolenic|arachidic|eicosenoic|other,1.0,1.0,,0.001996007984031936,equivalente
olive_oil_3class,,1.0,,,,,0.0,0.0,0.0,,1.0,1.0,qfs_oracle_mucke,fase9_qfs,linear_svm,linear_svm,5.0,linoleic|linolenic|arachidic|eicosenoic|other,1.0,1.0,,0.001996007984031936,equivalente
olive_oil_9class,,0.8387318563789152,,,,,0.01552499787793904,-0.04679167901433116,0.09902827739998786,,1.0,1.0,qfs_na,fase9_qfs,random_forest,linear_svm,5.0,oleic|linoleic|linolenic|arachidic|other,0.8542568542568543,0.8833333333333333,,0.001996007984031936,equivalente
olive_oil_9class,,0.8387318563789152,,,,,0.06722311820351023,-0.08030617068117062,0.17882074848272916,,1.0,1.0,qfs_oracle_mucke,fase9_qfs,xgboost,linear_svm,5.0,stearic|oleic|linolenic|arachidic|other,0.9059549745824255,0.9083333333333334,,0.001996007984031936,equivalente
