experiment_id,dataset,feature_set,selector,k,model_name,candidate_label,validation_macro_f1,validation_balanced_accuracy,test_macro_f1,test_balanced_accuracy,test_accuracy,test_auc_roc,n_test,n_features_used,test_macro_f1_ci_low,test_macro_f1_ci_high,difference_candidate_minus_baseline,ci_low,ci_high,paired_correctness_permutation_pvalue,label_permutation_p_value,paired_pvalue_fdr,paired_pvalue_holm
breast_cancer_wisconsin__boruta_confirmed_22__linear_svm,breast_cancer_wisconsin,boruta_confirmed_22,boruta,22,linear_svm,subconjunto_top_1_validation,0.9873905948672304,0.984375,0.9502314814814814,0.9502314814814814,0.9534883720930232,0.9751157407407408,86,22,0.8886775027253463,0.9880095746406592,0.0128498009805348,0.0,0.039143481483814,1.0,0.0019960079840319,1.0,1.0
breast_cancer_wisconsin__linear_svm_k10__xgboost,breast_cancer_wisconsin,linear_svm_k10,linear_svm,10,xgboost,subconjunto_top_2_validation,0.9749410377358492,0.9749410377358492,0.9495601173020528,0.9438657407407408,0.9534883720930232,0.9704861111111112,86,10,0.8879008499848587,0.987641406590054,0.0121784368011061,-0.046568775059652,0.0578627842235398,1.0,0.0019960079840319,1.0,1.0
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,all_features,30,linear_svm,baseline_mejor_en_validation,0.9749410377358492,0.9749410377358492,0.9373816805009464,0.9346064814814814,0.9418604651162792,0.976273148148148,86,30,0.873900293255132,0.9874763361001891,,,,,0.0019960079840319,,
customer_churn__all_features__xgboost,customer_churn,all_features,all_features,10,xgboost,baseline_mejor_en_validation,0.9999076005443296,0.99992,0.9998152056674428,0.99984,0.9998185255198488,0.9999992565938864,66125,10,0.9997072384365272,0.9999077272507204,,,,,0.0019960079840319,,
customer_churn__l1_logistic_k10__xgboost,customer_churn,l1_logistic_k10,l1_logistic,10,xgboost,subconjunto_top_1_validation,0.9992455381383968,0.9993466666666666,0.9991377826701864,0.9992533333333332,0.9991531190926276,0.9999592826783116,66125,10,0.9989039347741764,0.999369678744018,-0.0006774229972564,-0.0008791975703463,-0.0005083131992778,0.0004997501249375,0.0019960079840319,0.0012493753123437499,0.0049975012493749995
customer_churn__mrmr_approx_k10__xgboost,customer_churn,mrmr_approx_k10,mrmr_approx,10,xgboost,subconjunto_top_2_validation,0.9992455381383968,0.9993466666666666,0.9991377826701864,0.9992533333333332,0.9991531190926276,0.9999770852983988,66125,10,0.9989210287287578,0.9993542256633898,-0.0006774229972564,-0.000877210674714,-0.0004925700984812,0.0004997501249375,0.0019960079840319,0.0012493753123437499,0.0049975012493749995
madelon__boruta_confirmed_19__xgboost,madelon,boruta_confirmed_19,boruta,19,xgboost,subconjunto_top_1_validation,0.8564737035347523,0.8566666666666667,0.906662518334148,0.9066666666666668,0.9066666666666666,,300,19,0.8731263835651037,0.9399045814794216,0.0936283302999601,0.0532829564444517,0.1401381417344593,0.0004997501249375,0.0019960079840319,0.0012493753123437499,0.0049975012493749995
madelon__rfe_k10__xgboost,madelon,rfe_k10,rfe,10,xgboost,subconjunto_top_2_validation,0.8499182888461496,0.85,0.8999599839935974,0.9,0.9,,300,10,0.8659423048172917,0.9323729226356036,0.0869257959594094,0.043989054064008,0.1369608375580814,0.0004997501249375,0.0019960079840319,0.0012493753123437499,0.0049975012493749995
madelon__all_features__xgboost,madelon,all_features,all_features,500,xgboost,baseline_mejor_en_validation,0.7433076640997434,0.7433333333333333,0.813034188034188,0.8133333333333334,0.8133333333333334,,300,500,0.769490631695801,0.8558393949079149,,,,,0.0019960079840319,,
olive_oil_3class__all_features__linear_svm,olive_oil_3class,all_features,all_features,8,linear_svm,baseline_mejor_en_validation,1.0,1.0,1.0,1.0,1.0,,86,8,1.0,1.0,,,,,0.0019960079840319,,
olive_oil_3class__f_classif_k5__linear_svm,olive_oil_3class,f_classif_k5,f_classif,5,linear_svm,subconjunto_top_1_validation,1.0,1.0,1.0,1.0,1.0,,86,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0019960079840319,1.0,1.0
olive_oil_3class__l1_logistic_k5__linear_svm,olive_oil_3class,l1_logistic_k5,l1_logistic,5,linear_svm,subconjunto_top_2_validation,1.0,1.0,1.0,1.0,1.0,,86,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0019960079840319,1.0,1.0
olive_oil_9class__l1_logistic_k5__xgboost,olive_oil_9class,l1_logistic_k5,l1_logistic,5,xgboost,subconjunto_top_1_validation,0.9552399634366848,0.9527649769585254,0.954272887606221,0.9583333333333334,0.9651162790697676,,86,5,0.8898115079365079,1.0,0.1155410312273057,-0.0036863453639992,0.2404678469678468,0.3548225887056472,0.0019960079840319,0.7096451774112944,1.0
olive_oil_9class__all_features__linear_svm,olive_oil_9class,all_features,all_features,8,linear_svm,baseline_mejor_en_validation,0.943362135382386,0.9523240598509416,0.8387318563789152,0.8722222222222222,0.9186046511627908,,86,8,0.7342916800685343,0.938797568172568,,,,,0.0019960079840319,,
olive_oil_9class__boruta_confirmed_8__linear_svm,olive_oil_9class,boruta_confirmed_8,boruta,8,linear_svm,subconjunto_top_2_validation,0.943362135382386,0.9523240598509416,0.8387318563789152,0.8722222222222222,0.9186046511627908,,86,8,0.7221480483167789,0.9301147439305334,0.0,0.0,0.0,1.0,0.0019960079840319,1.0,1.0
