dataset,mode,alpha,k_target,cardinality,q_opt,bitstring,selected_features,elapsed_seconds
olive_oil_9class,alpha_grid,0.0,,0,0.0,00000000,,0.0001064743846654892
olive_oil_9class,alpha_grid,0.1,,1,-0.08672053603300772,00001000,linolenic,7.531698793172836e-05
olive_oil_9class,alpha_grid,0.2,,1,-0.17344107206601544,00001000,linolenic,7.325783371925354e-05
olive_oil_9class,alpha_grid,0.3,,2,-0.33841893082570584,00001001,linolenic|other,7.4777752161026e-05
olive_oil_9class,alpha_grid,0.4,,2,-0.5250090666822984,00001001,linolenic|other,7.116328924894333e-05
olive_oil_9class,alpha_grid,0.5,,2,-0.7115992025388909,00001001,linolenic|other,7.076002657413483e-05
olive_oil_9class,alpha_grid,0.6,,3,-0.9365821541607378,00101001,oleic|linolenic|other,7.151998579502106e-05
olive_oil_9class,alpha_grid,0.7,,4,-1.2625736414294484,01101001,stearic|oleic|linolenic|other,7.189158350229263e-05
olive_oil_9class,alpha_grid,0.8,,6,-1.9019567623325715,01101111,stearic|oleic|linolenic|arachidic|eicosenoic|other,7.124803960323334e-05
olive_oil_9class,alpha_grid,0.9,,8,-3.2758474620357605,11111111,palmitoleic|stearic|oleic|linoleic|linolenic|arachidic|eicosenoic|other,7.042661309242249e-05
olive_oil_9class,alpha_grid,1.0,,8,-5.010345886217061,11111111,palmitoleic|stearic|oleic|linoleic|linolenic|arachidic|eicosenoic|other,7.114000618457794e-05
olive_oil_9class,mucke_k,0.75,5.0,5,-1.5591061542577522,01101101,stearic|oleic|linolenic|arachidic|other,0.0002240436151623726
