dataset,configuration,alpha,beta,k,n_features,selected_features,validation_macro_f1,validation_balanced_accuracy,validation_accuracy,fit_seconds,hamming_min,hamming_mean,delta_cost_min,delta_cost_mean
breast_cancer_wisconsin,qfs_na,0.5,0.1,10,10,texture_worst|concave_points_mean|radius_mean|fractal_dimension_se|concavity_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.9749410377358491,0.9749410377358491,0.9764705882352941,0.26712516974657774,2,3.8181818181818183,-4.398522208601396,4.392943212198973
breast_cancer_wisconsin,qfs_oracle_mucke,0.953125,,10,10,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean,0.9256993006993006,0.9310141509433962,0.9294117647058824,0.26741018425673246,2,3.8181818181818183,-4.398522208601396,4.392943212198973
customer_churn,qfs_na,0.5,0.9,10,10,age|support_calls|payment_delay|total_spend|gender_Female|gender_Male|subscription_type_Basic|subscription_type_Premium|subscription_type_Standard|contract_length_Monthly,0.9853468095325466,0.9872418631732169,0.9855576559546314,1.046335089020431,6,6.181818181818182,0.5068700996350204,1.038114031674331
customer_churn,qfs_oracle_mucke,0.875,,10,10,age|tenure|usage_frequency|support_calls|payment_delay|total_spend|last_interaction|gender_Male|subscription_type_Premium|contract_length_Monthly,0.9931128321454801,0.9940059970887918,0.9932249527410207,1.0354445474222302,6,6.181818181818182,0.5068700996350204,1.038114031674331
madelon,qfs_na,0.5,0.1,10,10,feat_241|feat_43|feat_205|feat_147|feat_346|feat_211|feat_295|feat_431|feat_85|feat_42,0.5833287036522627,0.5833333333333333,0.5833333333333334,0.3236085567623377,2,2.727272727272727,-0.014749893957291704,0.030197067221000764
madelon,qfs_oracle_mucke,0.982421875,,10,10,feat_241|feat_43|feat_205|feat_147|feat_368|feat_346|feat_211|feat_295|feat_85|feat_42,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.2758386516943574,2,2.727272727272727,-0.014749893957291704,0.030197067221000764
olive_oil_3class,qfs_na,0.5,0.0,5,5,stearic|linolenic|arachidic|eicosenoic|other,1.0,1.0,1.0,0.24864407163113356,0,1.6363636363636365,-0.3335878875126461,0.1806558190836671
olive_oil_3class,qfs_oracle_mucke,0.875,,5,5,linoleic|linolenic|arachidic|eicosenoic|other,1.0,1.0,1.0,0.25840525701642036,0,1.6363636363636365,-0.3335878875126461,0.1806558190836671
olive_oil_9class,qfs_na,0.5,0.2,5,5,oleic|linoleic|linolenic|arachidic|other,0.957227449384312,0.9532627865961198,0.9651162790697675,0.28841211274266243,0,2.727272727272727,0.0,0.958834416842672
olive_oil_9class,qfs_oracle_mucke,0.75,,5,5,stearic|oleic|linolenic|arachidic|other,0.8544982976355525,0.8567019400352733,0.9069767441860465,0.23039158433675766,0,2.727272727272727,0.0,0.958834416842672
