dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__concave_points_worst,density__smoothness_se,density__texture_worst,density__concave_points_mean,density__radius_worst,density__symmetry_worst,density__radius_mean,density__fractal_dimension_se,density__perimeter_worst,density__texture_se,density__concavity_mean,density__perimeter_mean,density__symmetry_se,density__smoothness_worst,density__area_worst,density__texture_mean,density__concavity_worst,density__area_mean,density__fractal_dimension_worst,density__symmetry_mean
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,8.420387685153246,1,10100110101101101100,concave_points_worst|texture_worst|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.509653657325625,3,10110110101100101100,concave_points_worst|texture_worst|concave_points_mean|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.516928434267903,1,10111110001100101100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.662615268830473,1,10111010101001101100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.80660167226944,1,10111110011100101100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|texture_se|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.855543313711337,1,11110110101100101100,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.86453117230721,1,10111110001110101100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|perimeter_mean|symmetry_se|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.897662178805385,1,11010110101100111100,concave_points_worst|smoothness_se|concave_points_mean|symmetry_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|texture_mean|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.965357501722583,1,10110010101111101100,concave_points_worst|texture_worst|concave_points_mean|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|symmetry_se|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,10.98105955359482,1,10111010001111101100,concave_points_worst|texture_worst|concave_points_mean|radius_worst|radius_mean|concavity_mean|perimeter_mean|symmetry_se|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.013658989967206,1,11111010001101101100,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|radius_mean|concavity_mean|perimeter_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.02633070258234,1,11111010101001101100,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|smoothness_worst|area_worst|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.043809030883082,1,11111000101100101110,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean|fractal_dimension_worst,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
breast_cancer_wisconsin,0.9,10000,20,10,291.05599975120276,0.7071067811865475,11.068261573270947,1,11011010101001111100,concave_points_worst|smoothness_se|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,0.994,0.062,0.917,0.977,0.988,0.76,0.994,0.014,0.985,0.007,0.99,0.995,0.037,0.091,0.993,0.074,0.991,0.992,0.003,0.09
