dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__feat_241,density__feat_43,density__feat_311,density__feat_154,density__feat_139,density__feat_31,density__feat_205,density__feat_147,density__feat_368,density__feat_459,density__feat_30,density__feat_346,density__feat_211,density__feat_486,density__feat_295,density__feat_66,density__feat_431,density__feat_75,density__feat_85,density__feat_42
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,1.449216763959194,1,00001000000010010100,feat_139|feat_211|feat_66|feat_75,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,4.015829142997094,1,11000001000010000111,feat_241|feat_43|feat_147|feat_211|feat_75|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,4.110573168586496,1,00000110001011000100,feat_31|feat_205|feat_30|feat_211|feat_486|feat_75,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,4.943713149208273,1,11110100000000100010,feat_241|feat_43|feat_311|feat_154|feat_31|feat_295|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.2416022714599215,1,11000100100110100010,feat_241|feat_43|feat_31|feat_368|feat_346|feat_211|feat_295|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.326958805939931,1,11010000100010000011,feat_241|feat_43|feat_154|feat_368|feat_211|feat_85|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.33752099446134,1,11010100100010000010,feat_241|feat_43|feat_154|feat_31|feat_368|feat_211|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.384678348028863,1,11110000100000100010,feat_241|feat_43|feat_311|feat_154|feat_368|feat_295|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.596792848279765,1,11100001100110100000,feat_241|feat_43|feat_311|feat_147|feat_368|feat_346|feat_211|feat_295,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,5.598008486493913,1,10000001100110101010,feat_241|feat_147|feat_368|feat_346|feat_211|feat_295|feat_431|feat_85,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
madelon,0.0,10000,20,10,1399.8664305321872,0.7071067811865475,6.470992561877447,1,11010001000110001001,feat_241|feat_43|feat_154|feat_147|feat_346|feat_211|feat_431|feat_42,0.995,0.952,0.625,0.385,0.041,0.514,0.538,0.705,0.517,0.173,0.24,0.376,0.817,0.093,0.803,0.165,0.482,0.076,0.824,0.547
