dataset,block,n_features,feature_reduction_ratio,test_macro_f1_mean,train_test_gap_mean,train_test_gap_sd,fit_seconds_mean,predict_us_per_sample_mean
breast_cancer_wisconsin,baseline,30.0,0.0,0.9432,0.0475,0.0075,0.1915,104.9389
breast_cancer_wisconsin,clasico,22.0,0.2667,0.9479,0.0439,0.0078,0.0813,97.3884
breast_cancer_wisconsin,cuantico,10.0,0.6667,0.9414,0.0449,0.0109,0.0761,95.4313
customer_churn,baseline,10.0,0.0,0.9451,0.0003,0.0002,0.65,0.3875
customer_churn,clasico,10.0,0.0,0.9461,0.0002,0.0003,0.8351,0.2413
customer_churn,cuantico,10.0,0.0,0.9347,0.0004,0.0003,0.6444,0.4875
madelon,baseline,500.0,0.0,0.6167,0.2748,0.0604,0.2973,50.7811
madelon,clasico,19.0,0.962,0.749,0.0341,0.0348,0.0984,35.0782
madelon,cuantico,10.0,0.98,0.6221,0.1264,0.186,0.096,34.8784
olive_oil_3class,baseline,8.0,0.0,0.9973,0.0027,0.0046,0.0835,94.3559
olive_oil_3class,clasico,5.0,0.375,0.9973,-0.0016,0.0041,0.0798,106.7773
olive_oil_3class,cuantico,5.0,0.375,0.9961,0.0039,0.0074,0.0826,101.1299
olive_oil_9class,baseline,8.0,0.0,0.9163,0.0441,0.0456,0.5911,175.9352
olive_oil_9class,clasico,5.0,0.375,0.9014,0.031,0.0261,0.4937,155.7923
olive_oil_9class,cuantico,5.0,0.375,0.8793,0.0548,0.0452,0.4412,161.6491
