dataset,method,k,jaccard
breast_cancer_wisconsin,f_classif,10,1.0
breast_cancer_wisconsin,feature_similarity,10,1.0
breast_cancer_wisconsin,l1_logistic,10,1.0
breast_cancer_wisconsin,linear_svm,10,1.0
breast_cancer_wisconsin,mrmr_approx,10,1.0
breast_cancer_wisconsin,mutual_correlation,10,1.0
breast_cancer_wisconsin,mutual_info,10,1.0
breast_cancer_wisconsin,random_forest,10,0.8787878787878789
breast_cancer_wisconsin,rfe,10,1.0
breast_cancer_wisconsin,rrfs,10,1.0
breast_cancer_wisconsin,variance,10,1.0
customer_churn,f_classif,10,1.0
customer_churn,feature_similarity,10,1.0
customer_churn,l1_logistic,10,0.8181818181818182
customer_churn,linear_svm,10,0.7777777777777777
customer_churn,mrmr_approx,10,0.8787878787878789
customer_churn,mutual_correlation,10,1.0
customer_churn,mutual_info,10,1.0
customer_churn,random_forest,10,1.0
customer_churn,rfe,10,1.0
customer_churn,rrfs,10,1.0
customer_churn,variance,10,1.0
madelon,f_classif,10,1.0
madelon,feature_similarity,10,1.0
madelon,l1_logistic,10,1.0
madelon,linear_svm,10,1.0
madelon,mrmr_approx,10,1.0
madelon,mutual_correlation,10,1.0
madelon,mutual_info,10,1.0
madelon,random_forest,10,0.8787878787878789
madelon,rfe,10,1.0
madelon,rrfs,10,1.0
madelon,variance,10,1.0
olive_oil_3class,f_classif,5,1.0
olive_oil_3class,feature_similarity,5,1.0
olive_oil_3class,l1_logistic,5,1.0
olive_oil_3class,linear_svm,5,1.0
olive_oil_3class,mrmr_approx,5,1.0
olive_oil_3class,mutual_correlation,5,1.0
olive_oil_3class,mutual_info,5,1.0
olive_oil_3class,random_forest,5,1.0
olive_oil_3class,rrfs,5,1.0
olive_oil_3class,variance,5,1.0
olive_oil_9class,f_classif,5,1.0
olive_oil_9class,feature_similarity,5,1.0
olive_oil_9class,l1_logistic,5,1.0
olive_oil_9class,linear_svm,5,1.0
olive_oil_9class,mrmr_approx,5,1.0
olive_oil_9class,mutual_correlation,5,1.0
olive_oil_9class,mutual_info,5,1.0
olive_oil_9class,random_forest,5,0.7777777777777777
olive_oil_9class,rrfs,5,1.0
olive_oil_9class,variance,5,1.0
